City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,vadso,70.0744,29.7487,284.64,76,0,5.14,NO,1688924926
311,kamyzyak,46.11,48.0736,300.14,69,0,5.0,RU,1688924927
312,crane,31.3974,-102.3501,308.74,31,20,4.56,US,1688924927
313,castillos,-34.1667,-53.8333,288.88,74,99,2.53,UY,1688924927
314,nantucket,41.2835,-70.0995,299.23,83,100,3.09,US,1688924927
315,labrador city,52.9463,-66.9114,299.1,44,75,5.66,CA,1688924713
316,ponta delgada,37.7333,-25.6667,296.55,78,20,4.12,PT,1688924927
317,polyarnyy,69.1989,33.4478,280.89,75,42,2.93,RU,1688924927
318,kimbe,-5.5502,150.1429,297.39,96,100,1.88,PG,1688924913
319,maceio,-9.6658,-35.7353,298.84,88,100,2.57,BR,1688924928
320,krasnyy chikoy,50.3643,108.7512,288.51,90,87,0.97,RU,1688924928
321,chernyshevskiy,63.0128,112.4714,287.82,73,86,1.97,RU,1688924928
322,mili,6.0815,171.735,300.98,76,100,6.0,MH,1688924928
323,patnongon,10.9132,121.9937,299.0,81,100,1.39,PH,1688924928
324,konstantinovka,49.6167,127.9833,290.4,82,100,2.94,RU,1688924928
325,roma,43.2128,-75.4557,300.83,74,20,4.12,US,1688924901
326,san juan de miraflores,-12.1629,-76.9635,294.44,68,24,4.13,PE,1688924928
327,hami,42.8,93.45,302.37,27,100,1.54,CN,1688924928
328,felipe carrillo puerto,19.5833,-88.05,307.48,47,41,3.91,MX,1688924929
329,bestobe,52.4994,73.0975,294.86,48,58,2.29,KZ,1688924929
330,ulundi,-28.3352,31.4162,281.79,82,100,5.78,ZA,1688924929
331,tuy hoa,13.0833,109.3,296.94,90,30,2.46,VN,1688924929
332,mossel bay,-34.1831,22.146,284.11,67,22,6.79,ZA,1688924929
333,samana,19.2056,-69.3369,306.27,66,40,4.12,DO,1688924929
334,kolokani,13.5728,-8.0339,309.24,30,28,3.09,ML,1688924929
335,kupang,-10.1667,123.5833,297.47,78,20,4.12,ID,1688924929
336,xianju,28.85,120.7333,299.44,93,65,0.75,CN,1688924940
337,abu jibeha,11.4562,31.2285,298.44,73,100,0.99,SD,1688924940
338,edd,13.9297,41.6925,306.82,62,100,2.67,ER,1688924940
339,puerto colombia,10.9878,-74.9547,306.2,78,72,6.48,CO,1688924940
340,kavieng,-2.5744,150.7967,298.81,85,100,2.46,PG,1688924940
341,kapa'a,22.0752,-159.319,298.33,85,100,10.29,US,1688924940
342,minas de marcona,-15.2119,-75.1103,292.93,48,3,5.05,PE,1688924941
343,greymouth,-42.4667,171.2,281.08,93,100,1.94,NZ,1688924941
344,kununurra,-15.7667,128.7333,291.14,52,34,3.09,AU,1688924941
345,raduzhny,62.0961,77.475,288.49,77,71,1.48,RU,1688924941
346,volksrust,-27.3654,29.8818,277.71,36,17,3.68,ZA,1688924941
347,steamboat springs,40.485,-106.8317,298.34,31,0,2.06,US,1688924942
348,bang saphan,11.2126,99.5117,297.46,94,100,1.59,TH,1688924942
349,khandyga,62.6667,135.6,281.3,52,45,1.75,RU,1688924942
350,cockburn town,21.4612,-71.1419,301.57,81,57,6.57,TC,1688924942
351,khrenovoye,51.12,40.2889,290.12,94,99,6.95,RU,1688924943
352,ulsteinvik,62.3432,5.8487,296.99,71,100,2.82,NO,1688924943
353,portage,41.1667,-81.1998,299.32,58,75,2.57,US,1688924943
354,masina,-4.3836,15.3914,297.34,78,71,0.0,CD,1688924943
355,utrik,11.2278,169.8474,301.19,78,95,8.03,MH,1688924949
356,taulaga,-11.0553,-171.0883,301.46,77,89,7.22,AS,1688924949
357,yabassi,4.457,9.9682,297.02,96,63,1.37,CM,1688924949
358,yashikira,9.7667,3.4,296.89,89,100,2.59,NG,1688924950
359,senador jose porfirio,-2.5908,-51.9542,301.43,70,37,0.47,BR,1688924950
360,mazatlan,23.2167,-106.4167,305.32,75,60,2.24,MX,1688924950
361,kushiro,42.975,144.3747,290.37,100,99,1.61,JP,1688924950
362,chernushka,56.5072,56.0766,291.17,96,100,4.0,RU,1688924951
363,thinadhoo,0.5333,72.9333,300.69,73,49,1.33,MV,1688924951
364,quellon,-43.1167,-73.6167,282.29,87,100,2.06,CL,1688924951
365,saint-pierre,-21.3393,55.4781,293.97,68,0,3.6,RE,1688924951
366,koraput,18.8167,82.7167,296.07,84,98,1.81,IN,1688924951
367,la junta,37.985,-103.5438,298.74,75,40,3.6,US,1688924951
368,prairie grove,35.9759,-94.3177,300.11,74,91,1.54,US,1688924952
369,great falls,47.5002,-111.3008,302.97,37,0,1.54,US,1688924952
370,taloda,21.5667,74.2167,299.36,91,100,6.8,IN,1688924952
371,magdagachi,53.45,125.8,286.0,56,0,2.7,RU,1688924952
372,palora,-1.7,-77.9333,294.21,99,100,1.27,EC,1688924952
373,patterson,37.4716,-121.1297,296.49,24,0,1.29,US,1688924775
374,montmagny,48.9734,2.3469,299.39,59,0,5.14,FR,1688924953
375,al faw,29.9776,48.4741,314.15,19,0,5.16,IQ,1688924953
376,alpena,45.0617,-83.4327,295.99,70,75,2.57,US,1688924953
377,clocolan,-28.9137,27.5656,275.65,34,29,6.0,ZA,1688924954
378,qom,34.6401,50.8764,308.15,11,0,4.82,IR,1688924954
379,touros,-5.1989,-35.4608,300.87,70,22,5.83,BR,1688924954
380,baoqing,46.3317,132.2111,290.55,94,24,3.07,CN,1688924954
381,kalemie,-5.9475,29.1947,295.72,56,5,0.68,CD,1688924954
382,bikramganj,25.2,84.25,307.51,49,85,0.96,IN,1688924954
383,tura,25.5198,90.2201,297.27,97,96,2.04,IN,1688924955
384,tsetserleg,47.475,101.4542,287.02,92,100,2.33,MN,1688924965
385,jayapura,-2.5333,140.7,297.81,93,96,1.97,ID,1688924965
386,xilin hot,43.9667,116.0333,290.47,73,30,1.6,CN,1688924965
387,omamacho-omama,36.4333,139.2833,295.76,88,78,1.62,JP,1688924966
388,sinop,41.7711,34.8709,290.82,98,95,2.01,TR,1688924966
389,punta arenas,-53.15,-70.9167,277.21,81,0,6.69,CL,1688924966
390,haiku-pauwela,20.9219,-156.3051,297.62,77,40,5.66,US,1688924966
391,clarksdale,34.2001,-90.5709,302.14,79,20,4.12,US,1688924966
392,kruisfontein,-34.0033,24.7314,282.53,76,60,6.76,ZA,1688924967
393,ar ruways,24.1103,52.7306,304.64,69,27,2.35,AE,1688924967
394,rio de janeiro,-22.9028,-43.2075,297.12,72,100,4.12,BR,1688924747
395,al marj,32.488,20.8317,295.76,78,0,3.34,LY,1688924967
396,ad dilam,23.9915,47.1627,314.38,8,6,3.96,SA,1688924967
397,nyala,12.05,24.8833,304.58,40,48,4.05,SD,1688924967
